ID;Popyt1;Popyt2;Popyt3;Service_time1;Service_time2;Service_time3;MAX_L_ODW;Mozna1;Mozna2;Mozna3;Musi1;Musi2;Musi3;Musi1_2;Musi2_3;Max_godz1;Max_godz2;Max_godz3;Szer.geogr;Dl.geogr.
13252;1400;1800;2100;0,6;0,63;0,65;0;0;0;0;0;0;0;0;0;0;0;0;53.137234;17.956410
13253;5500;6400;7200;0,91;0,97;1,03;1;1;1;1;0;0;0;1;0;0;0;0;53.092130;18.331996
13254;4400;5600;6600;0,82;0,91;0,99;1;1;1;1;0;0;0;1;0;0;0;0;52.810170;18.280387
13255;2400;3800;5100;0,68;0,78;0,88;0;0;0;0;0;0;0;0;0;0;0;0;52.941564;18.957442
13257;3800;4000;4200;0,78;0,79;0,81;0;0;0;0;0;0;0;0;0;0;0;0;53.276740;18.931023
13263;2000;2900;3600;0,65;0,71;0,77;0;0;0;0;0;0;0;0;0;0;0;0;53.019194;18.640188
13264;1900;4700;2500;0,64;0,85;0,68;1;0;1;1;0;1;0;0;0;0;0;0;52.998540;18.604854
13265;1100;2600;3700;0,58;0,69;0,77;0;0;0;0;0;0;0;0;0;0;0;0;53.485087;18.753343
13266;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;53.024544;18.626757
13267;4400;5400;6500;0,82;0,9;0,98;1;0;0;1;0;0;0;0;0;0;0;0;53.030267;18.611215
13268;6000;7200;8100;0,94;1,03;1,1;1;0;1;1;0;0;0;0;0;0;0;0;53.486570;18.793720
