id_od;Id_do;km;czas
11837;11841;40,7341;0,68
11838;11841;49,9202;0,83
11842;11841;2,1098;0,05
11844;11841;44,648;0,74
11845;11841;46,0884;0,77
11853;11841;99,1758;1,65
11883;11841;115,1405;1,92
11976;11841;39,9825;0,67
11826;11842;110,3141;1,84
11827;11842;100,9944;1,68
11829;11842;107,2032;1,79
11831;11842;65,7594;1,1
11832;11842;64,7053;1,08
11833;11842;33,8252;0,56
11834;11842;43,6695;0,73
11835;11842;41,3601;0,69
11836;11842;41,2781;0,69
11837;11842;41,616;0,69
11838;11842;50,8022;0,85
11841;11842;1,1571;0,03
11844;11842;45,5283;0,76
11845;11842;46,9687;0,78
11853;11842;100,0577;1,67
11883;11842;116,0208;1,93
11976;11842;38,4971;0,64
11826;11844;80,348;1,34
11832;11844;68,079;1,13
11833;11844;47,8281;0,8
11834;11844;62,9189;1,05
11835;11844;60,6095;1,01
11838;11844;43,527;0,73
11841;11844;47,2906;0,79
11842;11844;46,3378;0,77
11845;11844;12,4306;0,31
11853;11844;81,4296;1,36
11883;11844;66,6687;1,11
11976;11844;63,8089;1,06
11826;11845;119,2846;1,99
11830;11845;103,9974;1,73
11831;11845;100,4198;1,67
11832;11845;100,3458;1,67
11833;11845;37,8051;0,63
11834;11845;49,497;0,82
11835;11845;40,9546;0,68
11836;11845;45,773;0,76
11837;11845;46,1109;0,77
11838;11845;60,0269;1
11841;11845;46,8979;0,78
11842;11845;45,9452;0,77
11844;11845;11,5535;0,29
11853;11845;72,1002;1,2
11883;11845;66,4096;1,11
11976;11845;63,4162;1,06
11826;11853;125,3647;2,09
11827;11853;94,8563;1,58
11829;11853;101,0652;1,68
11830;11853;110,0775;1,83
11831;11853;106,4999;1,77
11832;11853;106,4259;1,77
11833;11853;71,9602;1,2
11834;11853;53,361;0,89
11835;11853;61,5864;1,03
11836;11853;57,6564;0,96
11837;11853;57,9943;0,97
11838;11853;68,7657;1,15
11841;11853;100,9236;1,68
11842;11853;100,3249;1,67
11844;11853;81,4038;1,36
11845;11853;72,7439;1,21
11883;11853;69,5719;1,16
11976;11853;138,1976;2,3
11826;11883;117,837;1,96
11831;11883;170,7755;2,85
11832;11883;105,568;1,76
11833;11883;101,3951;1,69
11834;11883;92,3425;1,54
11835;11883;92,7867;1,55
11836;11883;88,0392;1,47
11837;11883;87,8509;1,46
11838;11883;65,595;1,09
11841;11883;106,788;1,78
11842;11883;105,8353;1,76
11844;11883;67,6504;1,13
11845;11883;65,547;1,09
11853;11883;69,234;1,15
11976;11883;123,3063;2,06
11826;11976;108,465;1,81
11827;11976;118,6328;1,98
11829;11976;136,2551;2,27
11830;11976;102,1241;1,7
11831;11976;93,1118;1,55
11832;11976;93,7234;1,56
11833;11976;71,9747;1,2
11834;11976;81,819;1,36
11835;11976;79,566;1,33
11836;11976;79,4276;1,32
11837;11976;79,7655;1,33
11838;11976;88,9516;1,48
11841;11976;39,3066;0,66
11842;11976;38,7095;0,65
11844;11976;62,824;1,05
11845;11976;64,2627;1,07
11853;11976;138,2072;2,3
11883;11976;133,3164;2,22
11981;11826;290,6242732;4,84
11981;11827;210,7672131;3,51
11981;11829;216,9744375;3,62
11981;11830;236,5761987;3,94
11981;11831;227,319275;3,79
11981;11832;222,0969667;3,7
11981;11833;186,7977031;3,11
11981;11834;170,3727791;2,84
11981;11835;179,0632151;2,98
11981;11836;174,3896917;2,91
11981;11837;175,3182809;2,92
11981;11838;185,9141755;3,1
11981;11841;214,7503296;3,58
11981;11842;215,6322479;3,59
11981;11844;181,0169539;3,02
11981;11845;171,6876099;2,86
11981;11853;121,3876882;2,02
11981;11883;168,8213753;2,81
11981;11976;253,7816526;4,23
12031;11826;111,208;1,85
12053;11826;110,3688;1,84
12068;11826;183,7195;3,06
12070;11826;87,578;1,46
12076;11826;178,127;2,97
12086;11826;176,555;2,94
12109;11826;83,459;1,39
12113;11826;97,734;1,63
12117;11826;168,2457;2,8
12120;11826;138,682;2,31
12123;11826;121,275;2,02
12131;11826;162,4826;2,71
12132;11826;186,4795;3,11
12031;11827;61,588;1,03
12053;11827;16,5344;0,41
12068;11827;79,9281;1,33
12070;11827;21,774;0,54
12076;11827;119,6821;1,99
12109;11827;25,153;0,42
12120;11827;56,554;0,94
12123;11827;115,3159;1,92
12131;11827;51,342;0,86
12132;11827;106,6239;1,78
12031;11829;65,445;1,09
12053;11829;22,7416;0,57
12068;11829;86,1353;1,44
12070;11829;25,631;0,43
12076;11829;125,8893;2,1
12086;11829;210,4877;3,51
12109;11829;24,984;0,62
12120;11829;62,7612;1,05
12123;11829;121,5232;2,03
12131;11829;55,199;0,92
12132;11829;112,8311;1,88
12031;11830;77,624;1,29
12053;11830;29,3351;0,49
12068;11830;129,6713;2,16
12070;11830;29,728;0,5
12076;11830;124,0788;2,07
12086;11830;119,1462;1,99
12109;11830;53,2806;0,89
12120;11830;84,6338;1,41
12123;11830;141,125;2,35
12131;11830;67,378;1,12
12132;11830;132,4313;2,21
12031;11831;71,872;1,2
12053;11831;34,3289;0,57
12068;11831;120,4143;2,01
12070;11831;48,242;0,8
12076;11831;114,8219;1,91
12086;11831;220,831;3,68
12109;11831;58,2743;0,97
12113;11831;93,9825;1,57
12117;11831;104,9405;1,75
12120;11831;75,3768;1,26
12123;11831;131,868;2,2
12131;11831;99,1774;1,65
12132;11831;123,1743;2,05
12031;11832;68,627;1,14
12053;11832;34,5703;0,58
12068;11832;115,192;1,92
12070;11832;32,981;0,55
12076;11832;109,5995;1,83
12086;11832;133,973;2,23
12109;11832;58,5157;0,98
12113;11832;39,731;0,66
12117;11832;99,7182;1,66
12120;11832;70,1545;1,17
12123;11832;78,694;1,31
12131;11832;93,9551;1,57
12132;11832;117,952;1,97
12031;11833;46,694;0,78
12053;11833;55,9408;0,93
12068;11833;79,8943;1,33
12070;11833;23,064;0,58
12076;11833;47,4966;0,79
12086;11833;180,3109;3,01
12109;11833;82,664;1,38
12113;11833;32,4202;0,54
12117;11833;37,6152;0,63
12120;11833;13,8194;0,35
12123;11833;91,3464;1,52
12131;11833;58,6574;0,98
12132;11833;82,6543;1,38
12031;11834;36,488;0,61
12053;11834;36,2328;0,6
12068;11834;63,4693;1,06
12070;11834;10,818;0,27
12076;11834;56,4333;0,94
12086;11834;163,8859;2,73
12109;11834;62,3299;1,04
12113;11834;43,0837;0,72
12117;11834;46,4119;0,77
12120;11834;7,0489;0,18
12123;11834;74,9214;1,25
12131;11834;42,2324;0,7
12132;11834;66,2293;1,1
12031;11835;41,888;0,7
12053;11835;44,9232;0,75
12068;11835;72,1598;1,2
12070;11835;16,218;0,41
12076;11835;46,7305;0,78
12086;11835;172,5764;2,88
12109;11835;71,0204;1,18
12113;11835;40,3575;0,67
12117;11835;36,7091;0,61
12120;11835;5,9658;0,15
12123;11835;55,2359;0,92
12131;11835;50,9229;0,85
12132;11835;74,9198;1,25
12031;11836;38,984;0,65
12053;11836;40,2497;0,67
12068;11836;67,4862;1,12
12070;11836;13,314;0,33
12076;11836;51,322;0,86
12086;11836;167,9029;2,8
12109;11836;66,3468;1,11
12113;11836;39,7395;0,66
12117;11836;41,3006;0,69
12120;11836;1,5434;0,04
12123;11836;50,4063;0,84
12131;11836;46,2493;0,77
12132;11836;70,2462;1,17
12031;11837;39,561;0,66
12053;11837;25,587;0,43
12068;11837;58,1102;0,97
12070;11837;13,891;0,35
12076;11837;52,2506;0,87
12086;11837;119,2266;1,99
12109;11837;70,3975;1,17
12113;11837;40,6681;0,68
12117;11837;42,2292;0,7
12120;11837;0,8079;0,02
12123;11837;49,6692;0,83
12131;11837;47,1779;0,79
12132;11837;71,1748;1,19
12031;11838;46,145;0,77
12053;11838;51,7742;0,86
12068;11838;79,0107;1,32
